external_author_id,author,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,account_type,retweet,account_category,new_june_2018,alt_external_id,tweet_id,article_url,tco1_step1,tco2_step1,tco3_step1,sentiment
2944766250,ATLANTA_ONLINE,Roswell switches to monthly billing cycle #news https://t.co/BBb06XdKz4,United States,English,12/24/2015 1:15,12/24/2015 1:15,9336,14512,7094,,local,0,NewsFeed,0,2944766250,679832635082866688,http://twitter.com/Atlanta_Online/statuses/679832635082866688,https://twitter.com/Atlanta_Online/status/679832635082866688/photo/1,,,Neutral
893000000000000000,ADNNELSTR,You can point this out to protesters but they don't seem to understand. Jail time might fix that. Enlist at… https://t.co/lWPOmnk1Bn,Unknown,English,8/13/2017 21:16,8/13/2017 21:16,946,83,1991,,Right,0,RightTroll,0,893370639309996032,896842950617030656,http://twitter.com/893370639309996032/statuses/896842950617030656,https://twitter.com/i/web/status/896842857377660929,,,Negative
2878166306,ANDYHASHTAGGER,Why would you say that??? https://t.co/hfUzVPLe5e,United States,English,5/18/2016 15:21,5/18/2016 15:22,18011,21732,9188,,Hashtager,0,HashtagGamer,1,2878166306,732954382145179648,http://twitter.com/AndyHashtagger/statuses/732954382145179648,https://twitter.com/TheExcel/status/732953841033961472,,,Neutral
895000000000000000,ARTEMSSFE,Benghazi Liar Susan Rice's Treachery Continues With Trump Surveillance https://t.co/UaXGIuhwta #MAGA #PJNET #TCOT https://t.co/oduKA1pFTd,Unknown,English,8/12/2017 23:19,8/12/2017 23:19,10,4,860,,Right,0,RightTroll,0,895011564591263744,896511455335510016,http://twitter.com/895011564591263744/statuses/896511455335510016,https://twitter.com/gerfingerpoken/status/849251126348324866/photo/1,http://dlvr.it/Np446K,,Neutral
1709314117,AANTIRACIST,RT @LatuffCartoons: Rabbi Rabbi Susan Talve: #BlackLivesMatter But Palestinian Don't? cc @Mondoweiss @MaxBlumenthal https://t.co/JfEsGfmSLw,United States,Arabic,2/10/2016 14:43,2/10/2016 14:43,1027,290,806,,Left,0,LeftTroll,0,1709314117,697430718985547776,http://twitter.com/aantiracist/statuses/697430718985547776,https://twitter.com/LatuffCartoons/status/673088120687054848/photo/1,,,Neutral
2878166306,ANDYHASHTAGGER,lying on the beach #MyDoomsdayPlans http://t.co/nogdAGhWV2,United States,English,8/30/2015 15:17,9/26/2015 5:23,12762,13371,2570,,Hashtager,0,HashtagGamer,1,2878166306,638007760647380992,http://twitter.com/AndyHashtagger/statuses/638007760647380992,https://twitter.com/AndyHashtagger/status/638007760647380992/photo/1,,,Neutral
895000000000000000,AMBERRPAR,PremierKevin22 Rus69X VivaLaAmes8 He also appointed a klansman to the supreme court,Unknown,English,8/16/2017 22:44,8/16/2017 22:45,22,7,937,,Right,0,RightTroll,0,894787222964101120,897952175975944194,http://twitter.com/894787222964101120/statuses/897952175975944194,,,,Neutral
3075888895,ALTMANBELINDA,#TrumpBecause USA really needs such leader �,United States,English,8/13/2015 16:04,8/13/2015 16:04,50,60,405,,Right,0,RightTroll,0,3075888895,631858895539957764,http://twitter.com/AltmanBelinda/statuses/631858895539957764,,,,Positive
893000000000000000,ALLBERRTOSS,"RT johncardillo: Never forget that Democrats and leftists in NYC celebrated a murderous terrorist bomber, and prom… https://t.co/sZZwQTd3VG",Unknown,English,8/13/2017 3:02,8/13/2017 3:03,19,2,376,,Right,0,RightTroll,0,893392468502355968,896567655984975876,http://twitter.com/893392468502355968/statuses/896567655984975876,https://twitter.com/i/web/status/896551314422992901,,,Positive
2878166306,ANDYHASHTAGGER,#MyNewSingleIsCalled I bought it and now I am broke. Why did I do it? https://t.co/woY2jyVhqf,United States,English,5/4/2016 8:40,5/4/2016 8:40,15928,21054,8167,,Hashtager,0,HashtagGamer,1,2878166306,727779841249050624,http://twitter.com/AndyHashtagger/statuses/727779841249050624,https://twitter.com/AndyHashtagger/status/727779841249050624/photo/1,,,Neutral
802673000000000000,ALBUQUERQUEON,Albuquerque officials called to affirm support of immigrants https://t.co/XqQ4ANWMup https://t.co/AuBI1iN1ed,Unknown,English,2/7/2017 14:43,2/7/2017 14:43,61,16,1777,,local,0,NewsFeed,1,802673478130434048,828977377757843456,http://twitter.com/802673478130434048/statuses/828977377757843456,https://twitter.com/AlbuquerqueOn/status/828977377757843456/photo/1,http://krqe.com/2017/02/07/albuquerque-officials-called-to-affirm-support-of-immigrants/,,Neutral
87588938,ANZGRI,https://t.co/utIja3VO4x,United States,Russian,10/7/2016 19:16,10/7/2016 19:16,34,1264,63623,,Russian,0,NonEnglish,0,87588938,784472464617271297,http://twitter.com/anzgri/statuses/784472464617271297,http://coub.com/view/fcjzk,,,Neutral
2944766250,ATLANTA_ONLINE,DeKalb sales tax would raise money for infrastructure https://t.co/eiQhnTTgcG \| https://t.co/1KPXto2HfW,United States,English,3/24/2016 20:02,3/24/2016 20:08,7496,16079,10399,,local,0,NewsFeed,0,2944766250,713093651224612864,http://twitter.com/Atlanta_Online/statuses/713093651224612864,https://twibble.io,http://twib.in/l/KRBoBzXrxy7,,Neutral
895000000000000000,ANGELISTRR,"RT American1765: I am real &amp; I use my real pics. I have a BA, MA &amp; PhD in communication. I believe in the American spirit conceived in 1765…",Unknown,English,8/11/2017 16:25,8/11/2017 16:25,49,4,52,,Right,0,RightTroll,0,894820555421089793,896044846565265408,http://twitter.com/894820555421089793/statuses/896044846565265408,,,,Positive
2944766250,ATLANTA_ONLINE,Police nab one of three package store burglars https://t.co/dVcjKxgrxA https://t.co/lkQEh8HtyV,United States,English,12/21/2016 4:03,12/21/2016 4:03,6064,17328,6423,,local,0,NewsFeed,0,2944766250,811421710759108608,http://twitter.com/2944766250/statuses/811421710759108608,https://twitter.com/Atlanta_Online/status/811421710759108608/photo/1,http://www.fox5atlanta.com/news/224773758-story,,Neutral
895000000000000000,ANGEELISTR,"RT MELANIATRUMP: “nbcsnl: On the #SNL40 red carpet with realDonaldTrump &amp; MELANIATRUMP"" https://t.co/S1KfjIlO9d",Unknown,English,8/9/2017 2:13,8/9/2017 2:13,23,5,126,,Right,0,RightTroll,0,894815179208368128,895105693505789955,http://twitter.com/894815179208368128/statuses/895105693505789955,https://twitter.com/MELANIATRUMP/status/567217346105065472/photo/1,,,Neutral
1652138929,ACEJINEV,"#phosphorus water in American Falls, don't even try to drink it! #phosphorusdisaster",Unknown,English,3/10/2015 21:07,3/10/2015 21:07,265,89,270,,Left,0,LeftTroll,0,1652138929,575402563085942787,http://twitter.com/acejinev/statuses/575402563085942787,,,,Neutral
893000000000000000,ALANISSTRS,"RT daveweigel: Ellison on Trump: ""Kim Jong Un? The world thought he was not a responsible leader. Well, he's acting more responsible than t…",Unknown,English,8/11/2017 22:36,8/11/2017 22:36,9,4,313,,Right,0,RightTroll,0,893391276942426112,896138266071539712,http://twitter.com/893391276942426112/statuses/896138266071539712,,,,Positive
893000000000000000,ADNNELSTR,Why wouldn't they come here? Where else can they get handouts? Fight back &amp; enlist with us at… https://t.co/cy8l4jsI44,Unknown,English,8/13/2017 14:36,8/13/2017 14:37,946,83,1776,,Right,0,RightTroll,0,893370639309996032,896742230874103808,http://twitter.com/893370639309996032/statuses/896742230874103808,https://twitter.com/i/web/status/896741886077140993,,,Neutral
